Idosoby;Płeć;Wiek;Wykształcenie;Zamieszkanie;Wierzący;Religia;Myślenie o śmierci przygnębia mnie (Lęk);Często zastanawiam się, w jakiej sytuacji byłbym skłonny odebrać sobie życie (Fascynacja);Perspektywa mojej śmierci jest dla mnie przerażająca (Lęk);Śmierć jest dla mnie czymś przykrym (Lęk);Lubię wyobrażać sobie, w jaki sposób umrę (Fascynacja);Gdy ktoś porusza w mojej obecności kwestię śmierci, szybko staram się zmienić temat rozmowy (Lęk);W chwilach ciężkiego przygnębienia zaczynam myśleć o swoim zgonie (Fascynacja);Myślę, że w miarę upływu lat będę się częściej modlić (Lęk);W naprawdę ciężkiej sytuacji mógłbym zdecydować się na samobójstwo (Fascynacja);Często myślę o śmierci (Fascynacja);Lubię wyobrażać sobie własny pogrzeb (Fascynacja);Często myślę, że chciałbym umrzeć (Fascynacja);Napełnia mnie przerażeniem, gdy umierają bliskie mi osoby (Lęk);Śmierć jest dla mnie fascynującą tajemnicą (Fascynacja);O śmierci myślę bez lęku (Lęk);Śmierć jest najgorszym nieszczęściem w życiu człowieka (Lęk);Nie lubię filmów, w których jeden z głównych bohaterów umiera (Lęk);Nieraz trudno oderwać mi się od myśli o śmierci (Fascynacja);Lubię poznawać różne rytuały i obrzędy towarzyszące śmierci (Fascynacja);Nieraz wyobrażam sobie, co będzie się ze mną działo po śmierci (Fascynacja);Lubię rozmyślać na tematy związane ze śmiercią (Fascynacja);Interesują mnie obrazy przedstawiające śmierć i umieranie (Fascynacja);Często rozmawiam z ludźmi na temat śmierci (Fascynacja);Koleżeński (Wspolnotowość);Wyrozumiały (Wspólnotowość);Pewny siebie (Sprawczość);Skuteczny (Sprawczość);Opiekuńczy (Wspólnotowość);Przyjazny (Wspólnotowość);Konsekwentny (Sprawczość);Skłonny do kompromisu (Wspólnotowość);Uczynny (Wspólnotowość);Ambitny (Sprawczość);Życzliwy (Wspólnotowość);Doceniający innych (Wspólnotowść);Energiczny (Sprawczość);Przedsiębiorczy (Sprawczość);Współczujący (Wspólnotowość);O silnej woli (Sprawczość);Sprawny (Sprawczość);O skłonnościach przywódczych (Sprawczość);Wspierający innych (Sprawczość);Pomocny (Wspólnotowość);Przekonujący (Sprawczość);Wybaczający (Wspólnotowość);Przebojowy (Sprawczość);Pomysłowy (Sprawczość);Rozumiejący innych (Wspólnotowość);Zaradny (Sprawczość);Poświęcający się dla innych (Wspólnotowość);Zdecydowany (Sprawczość);Aktywny (Sprawczość);Wrażliwy na innych (Wspólnotowość);Pomniejszam wagę swoich osiągnięć (Autodeprecjacja);Sprawiam wrażenie, że wiem więcej, niż to jest naprawdę (Autopromocja);Podkreślam własne zasługi (Autopromocja);Sprawiam wrażenie osoby zajętej ważnymi sprawami (Autopromocja);Wypadam gorzej od drugiej osoby, żeby jej nie sprawić przykrości (Autodeprecjacja); Sprawiam wrażenie osoby niepewnej siebie (Autodeprecjacja);Pewnych zadań podejmuję się dla wykazania, że coś potrafię (Autopromocja);Podkreślam własne umiejętności (Autopromocja);Unikam mówienia o swoich sukcesach (Autodeprecjacja);Gdy niepokoję się, że coś mi nie wyjdzie, opowiadam o tym innym (Autodeprecjacja);Staram się wypaść na osobę znającą się na rzeczy (Autopromocja);Mówię przepraszam, nawet kiedy tak naprawdę to nie moja wina (Autodeprecjacja);Podkreślam swoje wady (Autodeprecjacja);Opowiadam o tym, co mi się udało (Autopromocja);Sprawiam wrażenie osoby pewnej siebie (Autopromocja);Staram się nie wywyższać (Autodeprecjacja);Gdy coś mi dobrze pójdzie, staram się pokazać także swoje wady (Autodeprecjacja);Przyznaję się do własnej bezradności (Autodeprecjacja);Mówię o swoich zaletach (Autopromocja);Nawet gdy czegoś nie potrafię, zachowuję się, jakbym to umiał (Autopromocja);Sprawiam wrażenie osoby kompetentnej (Autopromocja);Zachowuję się bardziej bezradnie niż się czuję (Autodeprecjacja);Opowiadam o tym, co mi się nie udało (Autodeprecjacja);Nadrabiam miną, gdy coś idzie nie tak (Autopromocja);Z góry twierdzę, że nie dam sobie z czymś rady (Autodeprecjacja);Unikam tego, by za dobrze wypaść (Autodeprecjacja);Kiedy brak mi wiedzy na jakiś temat, nie daję tego po sobie poznać (Autopromocja);Mówię zdecydowanym tonem, nawet kiedy wcale nie mam pewności (Autopromocja);Kiedy dobrze wypadnę, przekonuję innych, że to przypadek (Autodeprecjacja);W dyskusji lubię pokazać, że się dobrze znam na rzeczy (Autopromocja);Lęk przed śmiercią;Fascynacja śmiercią;Osobowość sprawcza;Osobowość wspólnotowa;Autodeprecjacja;Autopromocja
179;Kobieta;20;Średnie ogólne;Duże miasto (powyżej 50 tyś. mieszkańców);Tak;Prawosławie;Raczej tak;Raczej nie;Zdecydowanie nie;Raczej tak;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie tak;Raczej tak;Zdecydowanie tak;Raczej nie;Raczej tak;Zdecydowanie nie;Zdecydowanie nie;Raczej tak;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Nie;Tak;Zdecydowanie tak;Zdecydowanie tak;Raczej tak;Tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Tak;Zdecydowanie tak;Raczej tak;Raczej tak;Zdecydowanie tak;Zdecydowanie tak;Raczej tak;Tak;Zdecydowanie tak;Zdecydowanie tak;Raczej tak;Zdecydowanie tak;Raczej tak;Zdecydowanie tak;Zdecydowanie tak;Raczej tak;Zdecydowanie tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Zdecydowanie nie;Czasami;Często;Bardzo czesto;Bardzo czesto;Bardzo czesto;Czasami;Często;Bardzo czesto;Często;Rzadko;Nigdy;Bardzo czesto;Często;Bardzo czesto;Często;Czasami;Często;Nigdy;Nigdy;Rzadko;Często;Czasami;Rzadko;Czasami;Nigdy;Nigdy;Rzadko;Nigdy;Rzadko;Często;2.88888888888889;1.35714285714286;5.06666666666667;5.86666666666667;2.86666666666667;3.33333333333333
190;Mężczyzna;20;Wyższe (licencjat, magisterium);Duże miasto (powyżej 50 tyś. mieszkańców);Nie;Nie wierzący;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie nie;Raczej nie;Raczej tak;Raczej nie;Raczej nie;Raczej tak;Zdecydowanie nie;Raczej tak;Raczej nie;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Raczej tak;Raczej tak;Raczej tak;Zdecydowanie tak;Zdecydowanie tak;Raczej nie;Raczej nie;Nie;Nie;Zdecydowanie nie;Tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Raczej nie;Nie;Tak;Raczej nie;Nie;Zdecydowanie nie;Raczej tak;Nie;Raczej nie;Raczej nie;Zdecydowanie nie;Raczej nie;Raczej tak;Raczej tak;Zdecydowanie nie;Zdecydowanie nie;Trudno powiedzieć, trochę tak, trochę nie;Tak;Tak;Nie;Nie;Nie;Raczej tak;Często;Czasami;Rzadko;Często;Rzadko;Bardzo czesto;Często;Rzadko;Czasami;Bardzo czesto;Czasami;Nigdy;Często;Czasami;Nigdy;Rzadko;Czasami;Często;Czasami;Rzadko;Czasami;Czasami;Czasami;Rzadko;Często;Czasami;Czasami;Rzadko;Czasami;Rzadko;3.22222222222222;2.78571428571429;3.4;3.2;3.26666666666667;2.6
192;Kobieta;20;Średnie ogólne;Duże miasto (powyżej 50 tyś. mieszkańców);Nie;Nie wierzący;Zdecydowanie tak;Zdecydowanie tak;Raczej tak;Zdecydowanie tak;Raczej tak;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie nie;Raczej nie;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie tak;Raczej tak;Zdecydowanie tak;Zdecydowanie tak;Raczej tak;Zdecydowanie tak;Raczej nie;Zdecydowanie tak;Zdecydowanie tak;Raczej nie;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Zdecydowanie tak;Zdecydowanie tak;Raczej nie;Nie;Tak;Trudno powiedzieć, trochę tak, trochę nie;Tak;Zdecydowanie tak;Raczej tak;Raczej nie;Zdecydowanie tak;Trudno powiedzieć, trochę tak, trochę nie;Nie;Raczej tak;Zdecydowanie tak;Zdecydowanie tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Nie;Raczej tak;Zdecydowanie tak;Nie;Tak;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Zdecydowanie tak;Rzadko;Bardzo czesto;Często;Nigdy;Rzadko;Bardzo czesto;Często;Czasami;Nigdy;Bardzo czesto;Czasami;Rzadko;Czasami;Bardzo czesto;Rzadko;Bardzo czesto;Czasami;Bardzo czesto;Rzadko;Nigdy;Rzadko;Czasami;Często;Bardzo czesto;Bardzo czesto;Nigdy;Rzadko;Nigdy;Nigdy;Rzadko;3.11111111111111;3.21428571428571;3.6;6.33333333333333;3.13333333333333;2.8
210;Mężczyzna;20;Średnie ogólne;Duże miasto (powyżej 50 tyś. mieszkańców);Tak;Katolicyzm;Raczej nie;Zdecydowanie nie;Raczej nie;Raczej nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Raczej nie;Raczej nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Raczej nie;Raczej nie;Raczej tak;Zdecydowanie nie;Zdecydowanie tak;Tak;Tak;Tak;Zdecydowanie tak;Zdecydowanie tak;Raczej tak;Raczej tak;Tak;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Tak;Tak;Zdecydowanie tak;Tak;Zdecydowanie tak;Zdecydowanie tak;Trudno powiedzieć, trochę tak, trochę nie;Tak;Zdecydowanie tak;Tak;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;Czasami;Rzadko;Często;Czasami;Rzadko;Nigdy;Bardzo czesto;Bardzo czesto;Rzadko;Rzadko;Często;Czasami;Czasami;Często;Bardzo czesto;Czasami;Często;Czasami;Czasami;Czasami;Często;Nigdy;Często;Czasami;Nigdy;Rzadko;Rzadko;Czasami;Rzadko;Czasami;1.88888888888889;1.57142857142857;6.46666666666667;6.33333333333333;2.4;3.53333333333333
1;Kobieta;19;Średnie ogólne;Duże miasto (powyżej 50 tyś. mieszkańców);Nie;Nie wierzący;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie tak;Raczej nie;Zdecydowanie tak;Raczej tak;Raczej nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Raczej nie;Raczej nie;Tak;Trudno powiedzieć, trochę tak, trochę nie;Tak;Raczej tak;Tak;Tak;Raczej nie;Tak;Tak;Tak;Raczej tak;Raczej tak;Tak;Tak;Tak;Nie;Raczej tak;Tak;Tak;Tak;Raczej tak;Raczej tak;Tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Tak;Raczej tak;Czasami;Często;Czasami;Czasami;Nigdy;Rzadko;Czasami;Często;Czasami;Rzadko;Często;Rzadko;Nigdy;Bardzo czesto;Często;Rzadko;Nigdy;Często;Często;Rzadko;Często;Rzadko;Nigdy;Czasami;Nigdy;Nigdy;Bardzo czesto;Rzadko;Nigdy;Czasami;3.11111111111111;1.28571428571429;5.13333333333333;5.33333333333333;1.8;3.53333333333333
9;Kobieta;19;Średnie ogólne;Wieś;Nie;Nie wierzący;Raczej tak;Raczej tak;Raczej tak;Raczej tak;Zdecydowanie tak;Raczej tak;Raczej nie;Raczej tak;Raczej tak;Raczej tak;Zdecydowanie tak;Raczej tak;Raczej nie;Raczej tak;Raczej nie;Zdecydowanie tak;Raczej nie;Raczej tak;Zdecydowanie tak;Raczej tak;Raczej tak;Zdecydowanie tak;Raczej tak;Raczej tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Raczej nie;Raczej tak;Raczej nie;Tak;Raczej nie;Tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Zdecydowanie nie;Raczej nie;Tak;Raczej tak;Raczej tak;Raczej nie;Raczej tak;Raczej nie;Raczej nie;Raczej tak;Nie;Raczej tak;Raczej tak;Raczej nie;Raczej nie;Nie;Raczej nie;Raczej tak;Czasami;Bardzo czesto;Rzadko;Często;Rzadko;Często;Rzadko;Czasami;Rzadko;Często;Często;Nigdy;Czasami;Rzadko;Czasami;Bardzo czesto;Rzadko;Czasami;Rzadko;Rzadko;Czasami;Rzadko;Często;Nigdy;Rzadko;Nigdy;Czasami;Nigdy;Rzadko;Czasami;2.77777777777778;3.21428571428571;3.4;4.53333333333333;2.66666666666667;2.66666666666667
10;Mężczyzna;19;Średnie ogólne;Średnie miasto (do 50 tyś. mieszkańców);Tak;Katolicyzm;Raczej tak;Raczej tak;Raczej nie;Raczej nie;Zdecydowanie tak;Zdecydowanie nie;Raczej nie;Raczej nie;Raczej nie;Raczej tak;Zdecydowanie tak;Raczej nie;Raczej nie;Raczej nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Raczej nie;Zdecydowanie tak;Raczej tak;Raczej tak;Zdecydowanie tak;Raczej nie;Tak;Tak;Raczej tak;Raczej tak;Zdecydowanie tak;Zdecydowanie tak;Raczej tak;Tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Tak;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Nie;Zdecydowanie tak;Trudno powiedzieć, trochę tak, trochę nie;Tak;Raczej tak;Tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Tak;Raczej nie;Raczej tak;Tak;Raczej tak;Tak;Raczej nie;Raczej nie;Zdecydowanie tak;Często;Bardzo czesto;Często;Często;Często;Czasami;Czasami;Czasami;Czasami;Rzadko;Często;Bardzo czesto;Często;Czasami;Często;Często;Często;Często;Czasami;Często;Bardzo czesto;Rzadko;Czasami;Często;Rzadko;Czasami;Bardzo czesto;Często;Często;Często;1.77777777777778;2.85714285714286;4.2;6.13333333333333;3.4;3.93333333333333
42;Kobieta;19;Średnie ogólne;Duże miasto (powyżej 50 tyś. mieszkańców);Tak;Katolicyzm;Zdecydowanie tak;Zdecydowanie tak;Raczej tak;Zdecydowanie tak;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Raczej nie;Zdecydowanie tak;Raczej nie;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie tak;Raczej nie;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Raczej nie;Zdecydowanie nie;Zdecydowanie tak;Raczej nie;Raczej tak;Raczej nie;Raczej tak;Tak;Nie;Raczej tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Tak;Raczej nie;Raczej nie;Zdecydowanie tak;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Nie;Raczej nie;Raczej tak;Nie;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Raczej tak;Tak;Zdecydowanie nie;Raczej nie;Raczej tak;Raczej tak;Nie;Trudno powiedzieć, trochę tak, trochę nie;Tak;Nie;Tak;Bardzo czesto;Nigdy;Nigdy;Rzadko;Nigdy;Czasami;Rzadko;Czasami;Nigdy;Czasami;Bardzo czesto;Rzadko;Rzadko;Bardzo czesto;Często;Czasami;Nigdy;Nigdy;Nigdy;Często;Czasami;Nigdy;Nigdy;Rzadko;Czasami;Rzadko;Często;Czasami;Nigdy;Często;3.44444444444444;2.35714285714286;3.86666666666667;4.33333333333333;2;2.93333333333333
48;Mężczyzna;19;Średnie ogólne;Małe miasto (5-10 tyś. mieszkańców);Nie;Nie wierzący;Raczej tak;Zdecydowanie tak;Raczej tak;Raczej tak;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie nie;Raczej tak;Raczej tak;Raczej tak;Raczej tak;Raczej tak;Zdecydowanie tak;Raczej tak;Raczej nie;Zdecydowanie nie;Raczej tak;Raczej tak;Zdecydowanie tak;Zdecydowanie tak;Raczej tak;Raczej nie;Raczej tak;Tak;Nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Tak;Tak;Zdecydowanie tak;Tak;Raczej tak;Tak;Tak;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Tak;Nie;Trudno powiedzieć, trochę tak, trochę nie;Nie;Raczej tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Nie;Raczej tak;Raczej tak;Nie;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Tak;Bardzo czesto;Czasami;Rzadko;Czasami;Czasami;Często;Często;Czasami;Rzadko;Często;Często;Bardzo czesto;Bardzo czesto;Czasami;Nigdy;Często;Bardzo czesto;Bardzo czesto;Czasami;Rzadko;Czasami;Często;Często;Rzadko;Bardzo czesto;Rzadko;Rzadko;Nigdy;Czasami;Rzadko;2.22222222222222;3.35714285714286;3.53333333333333;5.66666666666667;4;2.53333333333333
74;Kobieta;19;Średnie ogólne;Średnie miasto (do 50 tyś. mieszkańców);Nie;Nie wierzący;Raczej nie;Zdecydowanie tak;Zdecydowanie nie;Raczej tak;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie tak;Raczej tak;Zdecydowanie tak;Zdecydowanie tak;Raczej tak;Raczej tak;Zdecydowanie tak;Zdecydowanie nie;Raczej tak;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Zdecydowanie tak;Tak;Raczej tak;Tak;Raczej tak;Tak;Tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Zdecydowanie tak;Raczej tak;Zdecydowanie tak;Tak;Zdecydowanie tak;Zdecydowanie tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Tak;Tak;Tak;Tak;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Zdecydowanie tak;Bardzo czesto;Często;Rzadko;Czasami;Czasami;Czasami;Bardzo czesto;Rzadko;Bardzo czesto;Bardzo czesto;Często;Czasami;Często;Rzadko;Czasami;Często;Rzadko;Często;Rzadko;Często;Bardzo czesto;Często;Często;Bardzo czesto;Bardzo czesto;Nigdy;Często;Czasami;Czasami;Często;2.22222222222222;3.78571428571429;4.73333333333333;6.06666666666667;3.66666666666667;3.46666666666667
78;Kobieta;19;Średnie ogólne;Duże miasto (powyżej 50 tyś. mieszkańców);Nie;Nie wierzący;Raczej nie;Zdecydowanie nie;Raczej nie;Zdecydowanie tak;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Raczej nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie tak;Raczej nie;Raczej tak;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Tak;Raczej tak;Nie;Raczej tak;Zdecydowanie tak;Zdecydowanie tak;Trudno powiedzieć, trochę tak, trochę nie;Tak;Raczej tak;Raczej tak;Tak;Raczej tak;Raczej nie;Nie;Zdecydowanie tak;Raczej tak;Raczej nie;Raczej nie;Tak;Tak;Raczej tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Raczej tak;Tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Nie;Zdecydowanie tak;Często;Rzadko;Rzadko;Nigdy;Nigdy;Często;Często;Rzadko;Rzadko;Bardzo czesto;Nigdy;Czasami;Czasami;Czasami;Rzadko;Często;Często;Często;Rzadko;Nigdy;Czasami;Nigdy;Rzadko;Nigdy;Rzadko;Rzadko;Rzadko;Nigdy;Czasami;Rzadko;2.44444444444444;1.28571428571429;3.86666666666667;5.93333333333333;2.93333333333333;1.93333333333333
80;Mężczyzna;19;Średnie ogólne;Duże miasto (powyżej 50 tyś. mieszkańców);Tak;Katolicyzm;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Raczej tak;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Raczej tak;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie tak;Raczej nie;Raczej nie;Raczej nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Raczej tak;Raczej nie;Zdecydowanie nie;Raczej nie;Zdecydowanie tak;Zdecydowanie tak;Raczej nie;Nie;Trudno powiedzieć, trochę tak, trochę nie;Zdecydowanie tak;Zdecydowanie nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Nie;Tak;Raczej tak;Raczej tak;Nie;Tak;Raczej nie;Zdecydowanie nie;Raczej nie;Raczej tak;Raczej tak;Raczej nie;Zdecydowanie tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Zdecydowanie tak;Nie;Raczej nie;Tak;Czasami;Rzadko;Czasami;Rzadko;Nigdy;Często;Czasami;Czasami;Rzadko;Często;Rzadko;Bardzo czesto;Czasami;Często;Rzadko;Rzadko;Często;Często;Czasami;Rzadko;Nigdy;Często;Rzadko;Często;Rzadko;Rzadko;Rzadko;Nigdy;Czasami;Czasami;2.22222222222222;1.5;2.86666666666667;5.8;3;2.46666666666667
86;Mężczyzna;19;Średnie zawodowe;Duże miasto (powyżej 50 tyś. mieszkańców);Tak;Katolicyzm;Raczej tak;Zdecydowanie nie;Raczej tak;Zdecydowanie tak;Raczej nie;Raczej nie;Raczej nie;Raczej tak;Zdecydowanie nie;Raczej nie;Raczej nie;Zdecydowanie nie;Zdecydowanie tak;Raczej nie;Raczej tak;Raczej tak;Raczej tak;Raczej nie;Raczej nie;Raczej nie;Raczej nie;Raczej nie;Raczej nie;Raczej tak;Raczej tak;Raczej nie;Raczej nie;Tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Nie;Raczej tak;Raczej tak;Tak;Tak;Raczej tak;Raczej nie;Zdecydowanie tak;Raczej nie;Tak;Tak;Tak;Zdecydowanie tak;Raczej nie;Nie;Nie;Raczej tak;Tak;Raczej tak;Tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Czasami;Często;Często;Rzadko;Nigdy;Często;Czasami;Czasami;Często;Bardzo czesto;Często;Rzadko;Często;Często;Rzadko;Czasami;Często;Często;Często;Czasami;Czasami;Rzadko;Czasami;Rzadko;Czasami;Czasami;Często;Rzadko;Rzadko;Często;3.11111111111111;1.78571428571429;4.13333333333333;5.26666666666667;3.13333333333333;3.2
88;Kobieta;19;Średnie ogólne;Średnie miasto (do 50 tyś. mieszkańców);Tak;Katolicyzm;Zdecydowanie tak;Zdecydowanie tak;Raczej tak;Zdecydowanie tak;Zdecydowanie nie;Raczej nie;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie tak;Raczej tak;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie tak;Raczej nie;Zdecydowanie tak;Raczej nie;Raczej nie;Raczej tak;Raczej nie;Raczej tak;Raczej nie;Raczej nie;Zdecydowanie nie;Tak;Tak;Raczej nie;Tak;Zdecydowanie tak;Zdecydowanie tak;Tak;Raczej nie;Tak;Zdecydowanie tak;Tak;Tak;Tak;Raczej tak;Tak;Zdecydowanie tak;Tak;Tak;Raczej tak;Tak;Tak;Nie;Trudno powiedzieć, trochę tak, trochę nie;Tak;Tak;Raczej tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Zdecydowanie tak;Czasami;Bardzo czesto;Nigdy;Nigdy;Nigdy;Często;Często;Często;Bardzo czesto;Bardzo czesto;Czasami;Nigdy;Rzadko;Nigdy;Czasami;Bardzo czesto;Czasami;Często;Nigdy;Nigdy;Często;Rzadko;Często;Czasami;Bardzo czesto;Czasami;Często;Czasami;Rzadko;Rzadko;2.88888888888889;2.57142857142857;5.46666666666667;5.66666666666667;3.26666666666667;2.66666666666667
90;Kobieta;19;Średnie ogólne;Średnie miasto (do 50 tyś. mieszkańców);Tak;Katolicyzm;Zdecydowanie nie;Raczej tak;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Raczej nie;Raczej nie;Raczej tak;Raczej tak;Raczej nie;Raczej nie;Zdecydowanie tak;Zdecydowanie tak;Raczej nie;Zdecydowanie nie;Raczej nie;Zdecydowanie tak;Raczej tak;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Raczej tak;Tak;Zdecydowanie tak;Trudno powiedzieć, trochę tak, trochę nie;Zdecydowanie tak;Zdecydowanie tak;Raczej tak;Raczej tak;Tak;Zdecydowanie tak;Tak;Raczej tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Tak;Raczej tak;Zdecydowanie tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Raczej nie;Raczej tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Zdecydowanie tak;Raczej nie;Zdecydowanie nie;Raczej tak;Tak;Bardzo czesto;Często;Czasami;Często;Nigdy;Czasami;Czasami;Czasami;Bardzo czesto;Czasami;Nigdy;Często;Nigdy;Nigdy;Czasami;Bardzo czesto;Bardzo czesto;Często;Nigdy;Nigdy;Czasami;Czasami;Bardzo czesto;Czasami;Czasami;Rzadko;Nigdy;Czasami;Często;Czasami;1.77777777777778;3;4.73333333333333;5.4;3.53333333333333;2.46666666666667
93;Mężczyzna;19;Średnie ogólne;Średnie miasto (do 50 tyś. mieszkańców);Nie;Nie wierzący;Zdecydowanie nie;Raczej tak;Zdecydowanie nie;Raczej nie;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie tak;Raczej tak;Zdecydowanie tak;Raczej nie;Zdecydowanie tak;Zdecydowanie nie;Raczej nie;Raczej nie;Raczej tak;Raczej tak;Zdecydowanie tak;Zdecydowanie tak;Raczej tak;Raczej tak;Raczej tak;Tak;Nie;Tak;Raczej tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Raczej tak;Raczej nie;Tak;Nie;Raczej tak;Nie;Tak;Trudno powiedzieć, trochę tak, trochę nie;Nie;Tak;Tak;Zdecydowanie tak;Raczej tak;Zdecydowanie nie;Tak;Zdecydowanie tak;Zdecydowanie tak;Nie;Raczej tak;Raczej nie;Zdecydowanie nie;Często;Bardzo czesto;Rzadko;Czasami;Rzadko;Często;Bardzo czesto;Rzadko;Czasami;Czasami;Często;Często;Często;Rzadko;Rzadko;Czasami;Często;Czasami;Rzadko;Często;Czasami;Rzadko;Często;Czasami;Często;Czasami;Często;Czasami;Często;Bardzo czesto;1.44444444444444;3.57142857142857;4.33333333333333;4.53333333333333;3.4;3.26666666666667
